"models","params","target","forecast_date"
"UMass-MechBayes",0.0194691240663319,"4 wk ahead inc death","2021-04-12"
"Karlen-pypm",0.414126020257296,"4 wk ahead inc death","2021-04-12"
"RobertWalraven-ESG",-0.0805372298301083,"4 wk ahead inc death","2021-04-12"
"CU-select",0.127705660857997,"4 wk ahead inc death","2021-04-12"
"MOBS-GLEAM_COVID",0.182617385239716,"4 wk ahead inc death","2021-04-12"
"SteveMcConnell-CovidComplete",0.0323926804458209,"4 wk ahead inc death","2021-04-12"
"LNQ-ens1",0.0434530574409872,"4 wk ahead inc death","2021-04-12"
"BPagano-RtDriven",0.110705605132615,"4 wk ahead inc death","2021-04-12"
"UCSD_NEU-DeepGLEAM",0.0766754930333873,"4 wk ahead inc death","2021-04-12"
"LANL-GrowthRate",0,"4 wk ahead inc death","2021-04-12"
"epiforecasts-ensemble1",0,"4 wk ahead inc death","2021-04-12"
"USC-SI_kJalpha",0,"4 wk ahead inc death","2021-04-12"
"Microsoft-DeepSTIA",0,"4 wk ahead inc death","2021-04-12"
"UA-EpiCovDA",0,"4 wk ahead inc death","2021-04-12"
"CovidAnalytics-DELPHI",0,"4 wk ahead inc death","2021-04-12"
"Covid19Sim-Simulator",0,"4 wk ahead inc death","2021-04-12"
"JHUAPL-Bucky",0,"4 wk ahead inc death","2021-04-12"
"CEID-Walk",0,"4 wk ahead inc death","2021-04-12"
"COVIDhub-baseline",0,"4 wk ahead inc death","2021-04-12"
"MIT_CritData-GBCF",0,"4 wk ahead inc death","2021-04-12"
"DDS-NBDS",0,"4 wk ahead inc death","2021-04-12"
"UMass-MechBayes",0.264008185708607,"4 wk ahead cum death","2021-04-12"
"BPagano-RtDriven",0.23070366465072,"4 wk ahead cum death","2021-04-12"
"LNQ-ens1",0.125110207839752,"4 wk ahead cum death","2021-04-12"
"Karlen-pypm",0.285631615085794,"4 wk ahead cum death","2021-04-12"
"MOBS-GLEAM_COVID",0.095691152683243,"4 wk ahead cum death","2021-04-12"
"SteveMcConnell-CovidComplete",0,"4 wk ahead cum death","2021-04-12"
"RobertWalraven-ESG",0,"4 wk ahead cum death","2021-04-12"
"Microsoft-DeepSTIA",0,"4 wk ahead cum death","2021-04-12"
"UCSD_NEU-DeepGLEAM",0,"4 wk ahead cum death","2021-04-12"
"UA-EpiCovDA",0,"4 wk ahead cum death","2021-04-12"
"epiforecasts-ensemble1",0,"4 wk ahead cum death","2021-04-12"
"CU-select",0,"4 wk ahead cum death","2021-04-12"
"MIT_CritData-GBCF",0,"4 wk ahead cum death","2021-04-12"
"CovidAnalytics-DELPHI",0,"4 wk ahead cum death","2021-04-12"
"LANL-GrowthRate",0,"4 wk ahead cum death","2021-04-12"
"USC-SI_kJalpha",0,"4 wk ahead cum death","2021-04-12"
"Covid19Sim-Simulator",0,"4 wk ahead cum death","2021-04-12"
"CEID-Walk",0,"4 wk ahead cum death","2021-04-12"
"COVIDhub-baseline",0,"4 wk ahead cum death","2021-04-12"
"DDS-NBDS",0,"4 wk ahead cum death","2021-04-12"
"JHUAPL-Bucky",0,"4 wk ahead cum death","2021-04-12"
"UMass-MechBayes",0.467928927266881,"3 wk ahead inc death","2021-04-12"
"RobertWalraven-ESG",-0.0139838580243433,"3 wk ahead inc death","2021-04-12"
"Karlen-pypm",0.107417761289123,"3 wk ahead inc death","2021-04-12"
"MOBS-GLEAM_COVID",0.303534970258141,"3 wk ahead inc death","2021-04-12"
"CU-select",0.0313959687049567,"3 wk ahead inc death","2021-04-12"
"Microsoft-DeepSTIA",0,"3 wk ahead inc death","2021-04-12"
"LNQ-ens1",0,"3 wk ahead inc death","2021-04-12"
"SteveMcConnell-CovidComplete",0,"3 wk ahead inc death","2021-04-12"
"LANL-GrowthRate",0,"3 wk ahead inc death","2021-04-12"
"UCSD_NEU-DeepGLEAM",0,"3 wk ahead inc death","2021-04-12"
"USC-SI_kJalpha",0,"3 wk ahead inc death","2021-04-12"
"UA-EpiCovDA",0,"3 wk ahead inc death","2021-04-12"
"BPagano-RtDriven",0,"3 wk ahead inc death","2021-04-12"
"CovidAnalytics-DELPHI",0,"3 wk ahead inc death","2021-04-12"
"epiforecasts-ensemble1",0,"3 wk ahead inc death","2021-04-12"
"Covid19Sim-Simulator",0,"3 wk ahead inc death","2021-04-12"
"JHUAPL-Bucky",0,"3 wk ahead inc death","2021-04-12"
"CEID-Walk",0,"3 wk ahead inc death","2021-04-12"
"DDS-NBDS",0,"3 wk ahead inc death","2021-04-12"
"COVIDhub-baseline",0,"3 wk ahead inc death","2021-04-12"
"MIT_CritData-GBCF",0,"3 wk ahead inc death","2021-04-12"
"UMass-MechBayes",0.445713443933199,"3 wk ahead cum death","2021-04-12"
"BPagano-RtDriven",0.280714676007649,"3 wk ahead cum death","2021-04-12"
"MOBS-GLEAM_COVID",0.172788287391746,"3 wk ahead cum death","2021-04-12"
"Microsoft-DeepSTIA",0.0556443601865523,"3 wk ahead cum death","2021-04-12"
"LNQ-ens1",0.0435549413803271,"3 wk ahead cum death","2021-04-12"
"SteveMcConnell-CovidComplete",0,"3 wk ahead cum death","2021-04-12"
"RobertWalraven-ESG",0,"3 wk ahead cum death","2021-04-12"
"Karlen-pypm",0,"3 wk ahead cum death","2021-04-12"
"UA-EpiCovDA",0,"3 wk ahead cum death","2021-04-12"
"UCSD_NEU-DeepGLEAM",0,"3 wk ahead cum death","2021-04-12"
"epiforecasts-ensemble1",0,"3 wk ahead cum death","2021-04-12"
"USC-SI_kJalpha",0,"3 wk ahead cum death","2021-04-12"
"LANL-GrowthRate",0,"3 wk ahead cum death","2021-04-12"
"CovidAnalytics-DELPHI",0,"3 wk ahead cum death","2021-04-12"
"MIT_CritData-GBCF",0,"3 wk ahead cum death","2021-04-12"
"CU-select",0,"3 wk ahead cum death","2021-04-12"
"CEID-Walk",0,"3 wk ahead cum death","2021-04-12"
"DDS-NBDS",0,"3 wk ahead cum death","2021-04-12"
"COVIDhub-baseline",0,"3 wk ahead cum death","2021-04-12"
"Covid19Sim-Simulator",0,"3 wk ahead cum death","2021-04-12"
"JHUAPL-Bucky",0,"3 wk ahead cum death","2021-04-12"
"UMass-MechBayes",0.257204781637499,"2 wk ahead inc death","2021-04-12"
"RobertWalraven-ESG",0.0646662983167027,"2 wk ahead inc death","2021-04-12"
"SteveMcConnell-CovidComplete",0.271847348265646,"2 wk ahead inc death","2021-04-12"
"MOBS-GLEAM_COVID",0.265017362835587,"2 wk ahead inc death","2021-04-12"
"Microsoft-DeepSTIA",0,"2 wk ahead inc death","2021-04-12"
"Karlen-pypm",0,"2 wk ahead inc death","2021-04-12"
"CU-select",0,"2 wk ahead inc death","2021-04-12"
"LNQ-ens1",0,"2 wk ahead inc death","2021-04-12"
"LANL-GrowthRate",0,"2 wk ahead inc death","2021-04-12"
"USC-SI_kJalpha",0,"2 wk ahead inc death","2021-04-12"
"CovidAnalytics-DELPHI",0,"2 wk ahead inc death","2021-04-12"
"UCSD_NEU-DeepGLEAM",0,"2 wk ahead inc death","2021-04-12"
"epiforecasts-ensemble1",0,"2 wk ahead inc death","2021-04-12"
"UA-EpiCovDA",0,"2 wk ahead inc death","2021-04-12"
"BPagano-RtDriven",0,"2 wk ahead inc death","2021-04-12"
"JHUAPL-Bucky",0,"2 wk ahead inc death","2021-04-12"
"CEID-Walk",0,"2 wk ahead inc death","2021-04-12"
"DDS-NBDS",0,"2 wk ahead inc death","2021-04-12"
"COVIDhub-baseline",0,"2 wk ahead inc death","2021-04-12"
"Covid19Sim-Simulator",0,"2 wk ahead inc death","2021-04-12"
"MIT_CritData-GBCF",0,"2 wk ahead inc death","2021-04-12"
"UMass-MechBayes",0.44448678156728,"2 wk ahead cum death","2021-04-12"
"SteveMcConnell-CovidComplete",0.107310346560615,"2 wk ahead cum death","2021-04-12"
"Karlen-pypm",0.099555399713181,"2 wk ahead cum death","2021-04-12"
"BPagano-RtDriven",0.291454423117939,"2 wk ahead cum death","2021-04-12"
"MOBS-GLEAM_COVID",0.0552425923161836,"2 wk ahead cum death","2021-04-12"
"RobertWalraven-ESG",0,"2 wk ahead cum death","2021-04-12"
"LNQ-ens1",0,"2 wk ahead cum death","2021-04-12"
"Microsoft-DeepSTIA",0,"2 wk ahead cum death","2021-04-12"
"USC-SI_kJalpha",0,"2 wk ahead cum death","2021-04-12"
"UA-EpiCovDA",0,"2 wk ahead cum death","2021-04-12"
"epiforecasts-ensemble1",0,"2 wk ahead cum death","2021-04-12"
"CovidAnalytics-DELPHI",0,"2 wk ahead cum death","2021-04-12"
"UCSD_NEU-DeepGLEAM",0,"2 wk ahead cum death","2021-04-12"
"MIT_CritData-GBCF",0,"2 wk ahead cum death","2021-04-12"
"LANL-GrowthRate",0,"2 wk ahead cum death","2021-04-12"
"CU-select",0,"2 wk ahead cum death","2021-04-12"
"CEID-Walk",0,"2 wk ahead cum death","2021-04-12"
"DDS-NBDS",0,"2 wk ahead cum death","2021-04-12"
"COVIDhub-baseline",0,"2 wk ahead cum death","2021-04-12"
"JHUAPL-Bucky",0,"2 wk ahead cum death","2021-04-12"
"Covid19Sim-Simulator",0,"2 wk ahead cum death","2021-04-12"
"UMass-MechBayes",0.75054947165067,"1 wk ahead inc death","2021-04-12"
"SteveMcConnell-CovidComplete",0.15188371161027,"1 wk ahead inc death","2021-04-12"
"RobertWalraven-ESG",0,"1 wk ahead inc death","2021-04-12"
"Microsoft-DeepSTIA",0,"1 wk ahead inc death","2021-04-12"
"LNQ-ens1",0,"1 wk ahead inc death","2021-04-12"
"Karlen-pypm",0,"1 wk ahead inc death","2021-04-12"
"MOBS-GLEAM_COVID",0,"1 wk ahead inc death","2021-04-12"
"CovidAnalytics-DELPHI",0,"1 wk ahead inc death","2021-04-12"
"USC-SI_kJalpha",0,"1 wk ahead inc death","2021-04-12"
"UA-EpiCovDA",0,"1 wk ahead inc death","2021-04-12"
"BPagano-RtDriven",0,"1 wk ahead inc death","2021-04-12"
"LANL-GrowthRate",0,"1 wk ahead inc death","2021-04-12"
"CU-select",0,"1 wk ahead inc death","2021-04-12"
"epiforecasts-ensemble1",0,"1 wk ahead inc death","2021-04-12"
"CEID-Walk",0,"1 wk ahead inc death","2021-04-12"
"JHUAPL-Bucky",0,"1 wk ahead inc death","2021-04-12"
"UCSD_NEU-DeepGLEAM",0,"1 wk ahead inc death","2021-04-12"
"COVIDhub-baseline",0,"1 wk ahead inc death","2021-04-12"
"DDS-NBDS",0,"1 wk ahead inc death","2021-04-12"
"Covid19Sim-Simulator",0,"1 wk ahead inc death","2021-04-12"
"MIT_CritData-GBCF",0,"1 wk ahead inc death","2021-04-12"
"Karlen-pypm",0.502317309732783,"1 wk ahead cum death","2021-04-12"
"UMass-MechBayes",0.412305584699839,"1 wk ahead cum death","2021-04-12"
